Name,State,Notes,User,Tags,Created,Runtime,Sweep,Accuracy,Average Inference Time (ms),Dataset Name,GPU Memory Usage (MB),Max Swap Memory Usage (MB),Model Size (MB)
TinyLlama/TinyLlama_v1.1 in piqa,finished,-,,"NVIDIA A100-SXM4-80GB, TinyLlama/TinyLlama_v1.1, piqa",2025-02-03T12:15:31.000Z,32,,50.4,24.740129774093628,piqa,4292.984863,0,4196.351563
TinyLlama/TinyLlama_v1.1 in boolq,finished,-,,"NVIDIA A100-SXM4-80GB, TinyLlama/TinyLlama_v1.1, boolq",2025-02-03T12:14:45.000Z,42,,39.4,34.499153963088986,boolq,4292.984863,0,4196.351563
TinyLlama/TinyLlama_v1.1 in social_i_qa,finished,-,,"NVIDIA A100-SXM4-80GB, TinyLlama/TinyLlama_v1.1, social_i_qa",2025-02-03T12:14:08.000Z,29,,32.800000000000004,21.634314252853393,social_i_qa,4229.690918,0,4196.351563
TinyLlama/TinyLlama_v1.1 in allenai/ai2_arc,finished,-,,"NVIDIA A100-SXM4-80GB, TinyLlama/TinyLlama_v1.1, allenai/ai2_arc",2025-02-03T12:13:44.000Z,20,,26.49122807017544,24.61992784,allenai/ai2_arc,4238.383301,0,4196.351563
TinyLlama/TinyLlama_v1.1 in openbookqa,finished,-,,"NVIDIA A100-SXM4-80GB, TinyLlama/TinyLlama_v1.1, openbookqa",2025-02-03T12:13:21.000Z,17,,25,22.993109008789062,openbookqa,4230.407715,0,4196.351563
TinyLlama/TinyLlama_v1.1 in winogrande,finished,-,,"NVIDIA A100-SXM4-80GB, TinyLlama/TinyLlama_v1.1, winogrande",2025-02-03T12:12:47.000Z,26,,48.9,19.26325043296814,winogrande,4219.171387,0,4196.351563
MBZUAI/LaMini-GPT-774M in piqa,finished,-,,"MBZUAI/LaMini-GPT-774M, NVIDIA A100-SXM4-80GB, piqa",2025-02-03T12:09:55.000Z,30,,55.400000000000006,22.129478677749635,piqa,3120.521973,0,2952.695313
MBZUAI/LaMini-GPT-774M in boolq,finished,-,,"MBZUAI/LaMini-GPT-774M, NVIDIA A100-SXM4-80GB, boolq",2025-02-03T12:09:16.000Z,35,,58.8,27.129153497695924,boolq,3122.630859,0,2952.695313
MBZUAI/LaMini-GPT-774M in social_i_qa,finished,-,,"MBZUAI/LaMini-GPT-774M, NVIDIA A100-SXM4-80GB, social_i_qa",2025-02-03T12:08:32.000Z,29,,42.2,21.741679655075075,social_i_qa,3046.629883,0,2952.695313
MBZUAI/LaMini-GPT-774M in allenai/ai2_arc,finished,-,,"MBZUAI/LaMini-GPT-774M, NVIDIA A100-SXM4-80GB, allenai/ai2_arc",2025-02-03T12:08:07.000Z,20,,32.631578947368425,25.194224739074706,allenai/ai2_arc,3056.330078,0,2952.695313
MBZUAI/LaMini-GPT-774M in openbookqa,finished,-,,"MBZUAI/LaMini-GPT-774M, NVIDIA A100-SXM4-80GB, openbookqa",2025-02-03T12:07:44.000Z,17,,31.2,22.83894373703003,openbookqa,3048.793945,0,2952.695313
MBZUAI/LaMini-GPT-774M in winogrande,finished,-,,"MBZUAI/LaMini-GPT-774M, NVIDIA A100-SXM4-80GB, winogrande",2025-02-03T12:07:05.000Z,30,,51.8,22.20259941101074,winogrande,3035.816895,0,2952.695313
cerebras/Cerebras-GPT-590M in piqa,finished,-,,"NVIDIA A100-SXM4-80GB, cerebras/Cerebras-GPT-590M, piqa",2025-02-03T12:04:24.000Z,21,,49.2,14.28443440580368,piqa,2601.503906,0,2251.857422
cerebras/Cerebras-GPT-590M in boolq,finished,-,,"NVIDIA A100-SXM4-80GB, boolq, cerebras/Cerebras-GPT-590M",2025-02-03T12:03:52.000Z,27,,37.9,20.20814750766754,boolq,2607.157227,0,2251.857422
cerebras/Cerebras-GPT-590M in social_i_qa,finished,-,,"NVIDIA A100-SXM4-80GB, cerebras/Cerebras-GPT-590M, social_i_qa",2025-02-03T12:03:25.000Z,20,,33.7,13.77666763305664,social_i_qa,2412.907715,0,2251.857422
cerebras/Cerebras-GPT-590M in allenai/ai2_arc,finished,-,,"NVIDIA A100-SXM4-80GB, allenai/ai2_arc, cerebras/Cerebras-GPT-590M",2025-02-03T12:03:07.000Z,13,,26.49122807017544,13.43994255065918,allenai/ai2_arc,2435.550781,0,2251.857422
cerebras/Cerebras-GPT-590M in openbookqa,finished,-,,"NVIDIA A100-SXM4-80GB, cerebras/Cerebras-GPT-590M, openbookqa",2025-02-03T12:02:49.000Z,12,,25,12.658225107192994,openbookqa,2417.992188,0,2251.857422
cerebras/Cerebras-GPT-590M in winogrande,finished,-,,"NVIDIA A100-SXM4-80GB, cerebras/Cerebras-GPT-590M, winogrande",2025-02-03T12:02:24.000Z,17,,49.3,9.828606984138489,winogrande,2384.799316,0,2251.857422
bigscience/bloomz-560m in piqa,finished,-,,"NVIDIA A100-SXM4-80GB, bigscience/bloomz-560m, piqa",2025-02-03T12:00:15.000Z,25,,50.6,18.966152173042296,piqa,2777.367188,0,2133.234375
bigscience/bloomz-560m in boolq,finished,-,,"NVIDIA A100-SXM4-80GB, bigscience/bloomz-560m, boolq",2025-02-03T11:59:42.000Z,28,,62.5,21.055221784591676,boolq,2777.367188,0,2133.234375
bigscience/bloomz-560m in social_i_qa,finished,-,,"NVIDIA A100-SXM4-80GB, bigscience/bloomz-560m, social_i_qa",2025-02-03T11:59:09.000Z,26,,32.9,19.70507672405243,social_i_qa,2301.822266,0,2133.234375
bigscience/bloomz-560m in allenai/ai2_arc,finished,-,,"NVIDIA A100-SXM4-80GB, allenai/ai2_arc, bigscience/bloomz-560m",2025-02-03T11:58:46.000Z,18,,24.210526315789473,21.222520319620767,allenai/ai2_arc,2359.264648,0,2133.234375
bigscience/bloomz-560m in openbookqa,finished,-,,"NVIDIA A100-SXM4-80GB, bigscience/bloomz-560m, openbookqa",2025-02-03T11:58:25.000Z,15,,21.8,19.770992664337157,openbookqa,2317.698242,0,2133.234375
bigscience/bloomz-560m in winogrande,finished,-,,"NVIDIA A100-SXM4-80GB, bigscience/bloomz-560m, winogrande",2025-02-03T11:57:54.000Z,24,,50.7,17.329928226470948,winogrande,2229.607422,0,2133.234375
bigscience/bloom-560m in piqa,finished,-,,"NVIDIA A100-SXM4-80GB, bigscience/bloom-560m, piqa",2025-02-03T11:56:52.000Z,26,,49.5,19.553943504333496,piqa,2777.367188,0,2133.234375
bigscience/bloom-560m in boolq,finished,-,,"NVIDIA A100-SXM4-80GB, bigscience/bloom-560m, boolq",2025-02-03T11:56:19.000Z,28,,38.3,21.562538004875183,boolq,2777.367188,0,2133.234375
bigscience/bloom-560m in social_i_qa,finished,-,,"NVIDIA A100-SXM4-80GB, bigscience/bloom-560m, social_i_qa",2025-02-03T11:55:47.000Z,25,,33.7,19.167457242012023,social_i_qa,2301.822266,0,2133.234375
bigscience/bloom-560m in allenai/ai2_arc,finished,-,,"NVIDIA A100-SXM4-80GB, allenai/ai2_arc, bigscience/bloom-560m",2025-02-03T11:55:25.000Z,17,,26.31578947368421,20.034879843393963,allenai/ai2_arc,2359.264648,0,2133.234375
bigscience/bloom-560m in openbookqa,finished,-,,"NVIDIA A100-SXM4-80GB, bigscience/bloom-560m, openbookqa",2025-02-03T11:55:04.000Z,15,,25.8,19.455399866104127,openbookqa,2317.698242,0,2133.234375
bigscience/bloom-560m in winogrande,finished,-,,"NVIDIA A100-SXM4-80GB, bigscience/bloom-560m, winogrande",2025-02-03T11:54:34.000Z,21,,49.3,15.205183480262756,winogrande,2229.556641,0,2133.234375
Qwen/Qwen2.5-0.5B in piqa,finished,-,,"NVIDIA A100-SXM4-80GB, Qwen/Qwen2.5-0.5B, piqa",2025-02-03T11:52:59.000Z,30,,59.5,23.620272106170653,piqa,2211.804688,0,1884.585449
Qwen/Qwen2.5-0.5B in boolq,finished,-,,"NVIDIA A100-SXM4-80GB, Qwen/Qwen2.5-0.5B, boolq",2025-02-03T11:52:23.000Z,31,,64.60000000000001,23.56722278213501,boolq,2216.65625,0,1884.585449
Qwen/Qwen2.5-0.5B in social_i_qa,finished,-,,"NVIDIA A100-SXM4-80GB, Qwen/Qwen2.5-0.5B, social_i_qa",2025-02-03T11:51:48.000Z,28,,52.3,21.64905576324463,social_i_qa,1980.136719,0,1884.585449
Qwen/Qwen2.5-0.5B in allenai/ai2_arc,finished,-,,"NVIDIA A100-SXM4-80GB, Qwen/Qwen2.5-0.5B, allenai/ai2_arc",2025-02-03T11:51:23.000Z,20,,62.80701754385965,23.638089591578435,allenai/ai2_arc,2011.066406,0,1884.585449
Qwen/Qwen2.5-0.5B in openbookqa,finished,-,,"NVIDIA A100-SXM4-80GB, Qwen/Qwen2.5-0.5B, openbookqa",2025-02-03T11:51:01.000Z,17,,44.8,22.071912494659426,openbookqa,1985.642578,0,1884.585449
